"gene","logFC","logCPM","F","PValue","FDR"
"CDCP1",1.35007550994032,7.15043200374832,54.9182486932521,1.35163319539364e-06,3.99151791656641e-05
"OCRL",-1.43530947151122,6.06745717167035,54.7416790991231,1.37119476359345e-06,4.02653653331627e-05
"ASAP1",1.45980747932285,7.12004327329436,54.3763968981857,1.40020894002014e-06,4.08876655278506e-05
"IRF6",-1.36206383538776,6.17832712961656,54.7211195493114,1.41584644474281e-06,4.11146075926147e-05
"ZDHHC14",-1.51807901503843,6.07732625093901,54.7978143846137,1.42812366740193e-06,4.12420022624855e-05
"TBC1D22A",1.89082370177716,6.08493767143744,52.3262901780027,1.49873968680882e-06,4.30434744118116e-05
"CPD",1.22188486042429,7.54222958891027,53.4567934652571,1.64790290003416e-06,4.70687893905933e-05
"OSBPL8",1.43181924229038,6.22521786567418,48.9894077721524,1.72203106868942e-06,4.89187847610847e-05
"FBXO7",0.98735112497364,8.16087487915406,52.8777271226744,1.73896904740017e-06,4.91329254635713e-05
"EMC10",-1.11222504939851,9.03414701362838,52.2481995749133,1.87144542169912e-06,5.25916409635555e-05
"COX8A",-0.8633961744534,9.87503229866418,51.9850855812243,1.93101008221874e-06,5.373441324373e-05
"CNNM1",-1.42407004890206,5.87542278677137,51.2805557766088,1.93267068869739e-06,5.373441324373e-05
"PRUNE2",1.51114657963296,7.20694875790029,51.4895588300992,1.94746667477496e-06,5.38593032224798e-05
"ELF3",-1.73741155346428,7.6418934525857,51.6886931408185,2.01164528077783e-06,5.53414204348722e-05
"MBOAT7",-1.2819621531586,6.79847423173338,51.4080046273058,2.1088735924724e-06,5.77124726065614e-05
"PLCXD3",1.40211914657018,8.05436944265752,51.2630781599843,2.12471762397072e-06,5.7843224065078e-05
"TAGLN3",1.75485213111606,6.38008656155259,49.7903362282775,2.14756359971325e-06,5.81622535528557e-05
"INHBA",-2.8973258278164,6.62510249495209,51.0412271631994,2.16235139573658e-06,5.82608801315211e-05
"CHKA",-1.90575044871759,6.0286726162558,50.987947851882,2.18719352953414e-06,5.86280029685894e-05
"VWA1",-1.38503870644577,7.1696177536303,50.9308696391851,2.24167466662555e-06,5.97818034818966e-05
"KATNAL1",1.72014494762987,5.43561857374841,45.445613908762,2.35651110337311e-06,6.25252971438135e-05
"TLE1",2.42034897429992,4.98727606643467,43.7689161908509,2.48018890066418e-06,6.54744817362205e-05
"DHRS7",1.79951473689202,7.69343223972155,49.3324849722398,2.57564710069728e-06,6.76528009816316e-05
"SAMD5",-2.07965960158111,5.70501193805156,46.3827082853927,2.59682689015938e-06,6.78680707743153e-05
"PEG10",-1.18465511071316,9.34976354131877,49.3936386671791,2.66112660847861e-06,6.9202531256307e-05
"NAA20",-1.12367459227687,9.06138510931107,49.1218946717831,2.75360221419748e-06,7.12528652158921e-05
