"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.49770107887552e-52,2.53817902579226,0.73,0.167,2.39602218598506e-48,"2","Scg2"
1.55582960282495e-52,4.89826464596709,0.402,0.022,2.48901619859936e-48,"4","Dll1"
1.6438539276672e-52,1.85634954664915,0.902,0.304,2.62983751348199e-48,"2","Scg3"
2.0439970441153e-52,4.97216927323767,0.366,0.014,3.26998647117566e-48,"5","Fam111a"
2.63477459365475e-52,2.33103789341534,0.749,0.208,4.21511239492887e-48,"1","Sat1"
3.51959305159559e-52,0.716721542144835,1,1,5.63064496394262e-48,"1","Rpl10a"
3.69069238118321e-52,3.8423109825795,0.495,0.04,5.9043696714169e-48,"5","Psrc1"
3.82931564085197e-52,1.58218944792299,0.988,0.574,6.12613916223497e-48,"2","Rbp4"
3.85654950215932e-52,4.05633413800513,0.376,0.015,6.16970789355447e-48,"5","Lrr1"
4.1282214593204e-52,3.5285827240515,0.484,0.035,6.60432869062078e-48,"5","Lockd"
5.63417368245652e-52,0.531688816567777,1,1,9.01355105719395e-48,"1","Rps27a"
7.38135554489714e-52,2.67425274617329,0.806,0.137,1.18086926007264e-47,"5","Dhfr"
8.22304614064324e-52,0.784965598490861,1,0.987,1.31552292158011e-47,"1","Rps12"
1.03048117317322e-51,4.73282391500528,0.346,0.015,1.64856378084251e-47,"3","Nap1l5"
1.06810779244131e-51,1.73240611836541,0.994,0.488,1.7087588463476e-47,"3","Cpe"
1.13533943814552e-51,2.62716730129927,0.609,0.128,1.81631603314521e-47,"1","Rest"
1.35294345031568e-51,0.63566872993768,1,1,2.16443893181502e-47,"1","Rpl17"
5.20406915612742e-51,2.32358513785222,0.684,0.168,8.32546983597265e-47,"1","St3gal4"
7.08576409435197e-51,2.14737023953526,0.767,0.189,1.13358053981443e-46,"2","1500009L16Rik"
7.66238838595733e-51,2.27747322607326,0.859,0.366,1.22582889398545e-46,"2","1110008P14Rik"
8.70464180460909e-51,2.01795205679626,0.805,0.271,1.39256859590136e-46,"1","Rbp1"
1.08334917427017e-50,4.45544191185143,0.344,0.011,1.73314200899742e-46,"5","Ndc80"
1.33651511057145e-50,1.8521011697655,0.926,0.483,2.1381568738922e-46,"1","Tpm1"
2.1300453265086e-50,4.2633351771975,0.344,0.011,3.40764651334845e-46,"5","Nek2"
2.46605526700267e-50,0.86541914606786,1,0.988,3.94519521615087e-46,"1","Rpl12"
2.56072317186615e-50,2.40733480620577,1,0.791,4.09664493035146e-46,"5","Tuba1b"
2.92329414244665e-50,2.24671141098669,0.66,0.16,4.67668596908615e-46,"1","Tgm2"
3.64176806963316e-50,2.12403738542259,0.938,0.362,5.82610055779914e-46,"3","Isl1"
5.1250773629814e-50,2.51134005105094,0.873,0.208,8.19909876529764e-46,"4","Cbfa2t3"
5.66010729592067e-50,1.12195567222053,1,0.863,9.0550396520139e-46,"1","Pebp1"
7.37972141022425e-50,2.56837077769634,0.567,0.109,1.18060783120768e-45,"1","Hpgd"
1.1155914445795e-49,1.54242933658253,0.915,0.642,1.78472319303829e-45,"0","Cyth2"
1.15302583970708e-49,2.55435569245666,0.698,0.159,1.84461073836339e-45,"3","BC048546"
1.53689761236976e-49,0.669753219884566,1,1,2.45872880026914e-45,"1","Rps18"
1.74573012802874e-49,2.27554514638916,0.724,0.172,2.79281905882038e-45,"2","Pcsk1"
3.06590608346577e-49,2.84190346095609,0.605,0.113,4.90483655232854e-45,"3","Sphkap"
3.69452724531953e-49,1.62998007627213,0.963,0.599,5.91050468706218e-45,"1","H19"
4.65416150357746e-49,2.3457486062174,0.935,0.201,7.44572757342322e-45,"5","Rfc4"
5.6145272558401e-49,0.954719344852196,1,0.997,8.98212070389299e-45,"0","Actg1"
5.65224418292554e-49,7.81146699388291,0.638,0.164,9.04246024384428e-45,"2","Ins1"
8.06836951669605e-49,2.08111874405442,0.798,0.221,1.29077775528103e-44,"2","Cnih2"
8.66497570528667e-49,3.03829070640556,0.716,0.222,1.38622281333176e-44,"3","Smarca1"
8.96112495993126e-49,3.13149573561683,0.623,0.137,1.4336007710898e-44,"3","Tmsb15l"
9.40973656183254e-49,2.67191518723537,0.526,0.09,1.50536965516197e-44,"1","Mboat1"
9.56948779890528e-49,2.27575090391754,0.802,0.245,1.53092665806887e-44,"3","Pam"
1.04968790737108e-48,0.689234460804784,1,0.999,1.67929071421226e-44,"1","Rplp1"
1.22412917938549e-48,1.83644611213094,0.795,0.255,1.95836186118091e-44,"1","Cldn10"
1.36513117997844e-48,2.26178508055022,0.957,0.271,2.18393686172951e-44,"5","Ptn"
1.38717832275094e-48,1.69247076619237,1,0.592,2.21920788073695e-44,"2","Tuba1a"
2.08037169328622e-48,2.8581084109727,0.521,0.092,3.3281786349193e-44,"1","Gjb1"
2.17796134618115e-48,0.72931077661651,1,0.997,3.48430256162061e-44,"0","Eef2"
2.45167271916349e-48,3.05429585231554,0.526,0.096,3.92218601611775e-44,"1","Ugt2b34"
2.98573441426301e-48,5.4542954461512,0.28,0.005,4.77657791593796e-44,"5","Gsg2"
3.0673353020104e-48,2.59130778125461,0.839,0.175,4.90712301615624e-44,"5","Psat1"
3.42876044872393e-48,3.98471552072476,0.387,0.02,5.48533096586855e-44,"5","Exo1"
3.49737143762548e-48,2.52561952821426,0.623,0.148,5.59509482591324e-44,"1","Zfp36l1"
3.67667611472833e-48,6.36206546206418,0.247,0.001,5.88194644834239e-44,"5","Espl1"
4.42751966511623e-48,1.85737122907556,0.89,0.311,7.08314596025294e-44,"2","Abcc8"
4.58714660412834e-48,5.70007878891488,0.269,0.003,7.33851713728451e-44,"5","Iqgap3"
5.44127632070298e-48,4.44581086087702,0.344,0.014,8.70495385786062e-44,"5","Kif2c"
9.71086281592569e-48,3.04111324902006,0.613,0.078,1.55354383329179e-43,"5","Chaf1b"
1.19143294891143e-47,4.11631492786094,0.344,0.014,1.90605443166851e-43,"5","Nuf2"
1.75508565444473e-47,2.92952672371462,0.559,0.059,2.80778602998067e-43,"5","Mns1"
3.50972842068696e-47,2.79211777072509,0.58,0.105,5.614863527415e-43,"3","Etv1"
3.99699765248776e-47,4.08891458575845,0.355,0.016,6.39439684444991e-43,"5","Cdc45"
4.12054543883122e-47,3.81853808515038,0.461,0.042,6.59204859304219e-43,"4","Nfix"
4.35848372819483e-47,2.49170667834322,0.951,0.356,6.97270226836609e-43,"4","Neurog3"
6.41193681248458e-47,4.44749732582892,0.301,0.008,1.02578165126128e-42,"5","Kif4"
8.38742270238692e-47,2.07221803606705,0.614,0.132,1.34181988392786e-42,"1","Psat1"
8.39801211383791e-47,3.83116440070093,0.613,0.085,1.34351397797179e-42,"5","Cdc20"
